Timestamp,CAN ID,x [g],y [g],z [g],x_incl [g],y_incl [g],z_incl [g],x_acc [g],y_acc [g],z_acc [g],Tetha_XZ [deg],Tetha_YZ [deg]
2025-11-08 16:10:16.476180,19D,0.0,0.232,0.978,0.0,7.027959799500115e-14,2.9626485706513416e-13,0.0,0.22965333749071845,0.9681076037324251,0.0,13.344966930880107
2025-11-08 16:10:16.476496,19D,-0.001,0.241,0.979,-3.0292930170259115e-16,7.743729602981274e-13,3.2531924614481785e-12,-0.0009898850753910279,0.23389280663815962,0.9494131456724954,-0.005335242422304061,13.389219692644454
2025-11-08 16:10:16.476777,19D,-0.001,0.237,0.98,-3.32606291630519e-15,4.298645088762244e-12,1.800355981311636e-11,-0.0009697579351708634,0.22513013273120397,0.9308988278410479,-0.010585093576457056,13.42888374218983
2025-11-08 16:10:16.477051,19D,0.0,0.241,0.976,-1.810190793847977e-14,1.628401140546701e-11,6.80187531306177e-11,4.0049508079693236e-05,0.22441609913535523,0.9076141692283307,-0.015248190444356002,13.463480147720318
2025-11-08 16:10:16.477242,19D,0.001,0.237,0.978,-6.589885435424989e-14,4.799146872464599e-11,2.0000560296212156e-10,0.001029526327507278,0.21575039900695836,0.8905474893519155,-0.01887810159663111,13.493058154000696
2025-11-08 16:10:16.477384,19D,0.004,0.239,0.979,-1.8178809176598222e-13,1.185013371930842e-10,4.929113719261754e-10,0.003978648729993265,0.2131529565488701,0.8726467575835165,-0.021130958920644937,13.517999591437148
2025-11-08 16:10:16.477593,19D,0.003,0.245,0.982,-4.0617946021028726e-13,2.568681319226646e-10,1.0667389982748775e-09,0.002908056745083294,0.21452211264559734,0.856900922719091,-0.02181636530386691,13.538932679464125
2025-11-08 16:10:16.477753,19D,0.0,0.235,0.974,-7.653181380104031e-13,5.042348371285687e-10,2.091181833336358e-09,-0.00012135789724475668,0.19997976609690477,0.8304001884477257,-0.0209687635174021,13.55662910010089
2025-11-08 16:10:16.477952,19D,0.0,0.24,0.984,-1.2488445160036082e-12,9.159078617276002e-10,3.794079074304727e-09,-0.00012012547195756364,0.20053531504405486,0.8220719975741589,-0.018859258346915434,13.571799602438917
2025-11-08 16:10:16.478185,19D,0.001,0.235,0.977,-1.7947805895354294e-12,1.5633830294458633e-09,6.469688854107174e-09,0.0008709842812630999,0.19113736915721286,0.7969052095153255,-0.015894636142994276,13.584944360827404
2025-11-08 16:10:16.478452,19D,-0.002,0.229,0.971,-2.2839170247360423e-12,2.5363125521078873e-09,1.0486779369718927e-08,-0.0021175811246138517,0.18089689486404734,0.7730607436754615,-0.012478454975826402,13.596353939857869
2025-11-08 16:10:16.478594,19D,0.004,0.24,0.982,-2.538868965955521e-12,3.944409508031101e-09,1.629653360213195e-08,0.0038633976538216923,0.1876506270044952,0.7663539715878988,-0.0089262219107802,13.606188008202151
2025-11-08 16:10:16.478737,19D,0.002,0.24,0.975,-2.321648296049856e-12,5.919297636046661e-09,2.4440265418677054e-08,0.0018041144971277338,0.1833381012838925,0.7417943103533727,-0.005442684283437979,13.61456109091762
2025-11-08 16:10:16.478929,19D,0.002,0.243,0.982,-1.3237241976532278e-12,8.616329253601413e-09,3.5556960370399923e-08,0.0017656685276424174,0.18204107652131582,0.7314214207116355,-0.0021330228720273384,13.621607192278931
2025-11-08 16:10:16.479149,19D,0.0,0.241,0.976,8.509717439058908e-13,1.2216388199644555e-08,5.0390653648990175e-08,-0.0002521495115110576,0.17577979436791227,0.708223980166249,0.0009675819993463647,13.627501923819464
2025-11-08 16:10:16.479347,19D,0.0,0.229,0.972,4.7017712151538094e-12,1.692766831152991e-08,6.979764168779655e-08,-0.0002495475709360822,0.15970578431887147,0.6873121528309517,0.0038596095791017565,13.632443600854417
2025-11-08 16:10:16.479488,19D,0.004,0.233,0.977,1.0840598032178414e-11,2.2987399660078016e-08,9.475351580725844e-08,0.0037125781523301084,0.15975662235620514,0.6755724488297641,0.006555118368326143,13.636618020077842
2025-11-08 16:10:16.479674,19D,0.001,0.233,0.974,1.9999570823007844e-11,3.066350199874526e-08,1.2636001353261934e-07,0.0006649833328940761,0.1558098213915058,0.6559936685773409,0.009068462076153704,13.640172426334333
2025-11-08 16:10:16.479818,19D,0.0,0.238,0.977,3.304266822663588e-11,4.0256173481347594e-08,1.6585169726231367e-07,-0.0003416572150800202,0.15685539732693823,0.6425950640800389,0.011415049947870841,13.643210729814346
2025-11-08 16:10:16.479959,19D,0.0,0.238,0.976,5.097804006521901e-11,5.209944133329251e-08,2.1460247222004216e-07,-0.0003381022550028598,0.15289358224015806,0.6253552256840004,0.01361040466324139,13.645804838546244
2025-11-08 16:10:16.480108,19D,0.0,0.237,0.972,7.496398141269556e-11,6.656269123896569e-08,2.741319466221474e-07,-0.0003345699791209335,0.14798529566051,0.6053439882178105,0.015668074065448803,13.648009237854131
2025-11-08 16:10:16.480249,19D,-0.002,0.231,0.975,1.0630778690549473e-10,8.40521712735384e-08,3.4611162998882097e-07,-0.0023108304488804673,0.13819083877766564,0.592519206818514,0.01759833186684775,13.649870398702394
2025-11-08 16:10:16.480389,19D,0.001,0.237,0.973,1.464600520692404e-10,1.0501245478319399e-07,4.323709659368567e-07,0.0007025662330556182,0.14043840430577004,0.5748593852654232,0.019408200806672552,13.651429887891004
2025-11-08 16:10:16.480530,19D,0.0,0.238,0.978,1.970069377078135e-10,1.2992785511707745e-07,5.349032037667711e-07,-0.00030439076867074064,0.13765690958929647,0.5643432381082433,0.021102258269505337,13.652724424706213
